7064,6716,25016,50433
13520,12864,34104,27838
10324,10178,13122,14891
6808,6686,7043,11317
5516,5626,5758,9535
5273,5318,4945,8123
4520,4611,4255,7089
3909,3972,3922,6019
3839,4016,3578,5385
3713,3763,3262,4889
3275,3505,3067,4468
3254,3299,2763,4061
3019,3178,2639,3583
2778,2836,2560,3261
2639,2787,2463,3031
2598,2664,2401,2834
2456,2565,2274,2740
2337,2543,2082,2575
2325,2460,2035,2021
2279,2445,2068,1131
2205,2352,1987,1022
2076,2324,1901,974
2084,2236,1895,835
1971,2131,1812,756
1959,2080,1730,770
1920,1975,1672,681
1930,2073,1549,700
1790,1895,1538,574
1789,1843,1411,574
1779,1815,1450,526
1666,1727,1398,488
1629,1682,1319,502
1587,1677,1348,490
1597,1787,1317,471
1493,1623,1232,410
1458,1613,1152,361
1455,1550,1147,447
1382,1492,1081,376
1405,1462,997,388
1423,1472,984,426
1394,1502,987,195
1290,1392,867,167
1275,1356,867,141
1267,1303,894,118
1226,1318,909,103
1232,1178,779,131
1158,1144,829,76
1130,1160,729,81
1145,1124,888,84
1084,1123,746,90
1082,1084,737,83
1068,1116,702,81
1069,1102,680,66
1055,1070,655,68
1006,1024,619,67
1009,991,643,61
971,1060,584,68
954,991,580,53
913,929,540,50
941,914,528,46
941,917,519,55
912,874,539,25
888,941,517,46
866,877,472,43
875,832,469,47
825,816,433,45
869,837,422,46
792,796,444,55
776,797,431,31
845,741,369,36
784,717,389,19
722,734,384,17
769,687,379,24
740,675,391,17
751,702,349,19
731,667,347,12
711,685,310,14
676,661,320,10
657,653,336,10
635,634,308,7
601,647,306,6
633,594,268,6
595,570,282,13
589,511,256,12
564,541,243,7
517,548,258,8
595,564,274,9
586,529,257,5
600,522,249,5
546,514,227,8
510,507,202,8
561,481,218,9
502,438,222,5
485,469,190,3
513,412,197,3
492,401,172,6
479,410,200,4
490,422,175,3
438,376,144,7
422,361,129,5
460,359,143,5
436,375,155,3
387,343,147,3
376,334,120,9
353,317,104,9
368,341,125,3
377,315,125,5
341,325,120,3
368,316,112,2
396,282,111,3
294,330,97,1
323,265,91,2
335,266,109,5
296,279,82,1
341,260,76,1
