13396,11979,20486
15486,15737,15076
8919,8661,7847
6943,6801,6009
5803,5717,4873
5173,4931,4229
4638,4543,3837
4350,4044,3427
4065,3736,3203
3637,3466,2863
3373,3342,2827
3107,2950,2584
2849,2765,2405
2765,2562,2223
2584,2425,2250
2492,2337,2085
2357,2214,2021
2181,2188,1914
2088,2103,1769
1996,1932,1587
1964,1890,1609
1739,1806,1571
1657,1636,1537
1656,1582,1511
1493,1516,1464
1428,1476,1331
1364,1389,1283
1312,1348,1259
1244,1337,1251
1239,1237,1189
1211,1221,1200
1139,1141,1136
1090,1177,1045
1056,1188,978
1042,1086,1033
967,1099,991
896,1021,970
916,950,901
872,935,937
831,895,867
813,873,820
735,855,764
738,812,790
718,791,729
644,696,713
635,681,697
650,686,680
556,654,662
546,632,694
573,639,628
503,597,658
510,560,536
471,564,606
492,523,510
456,537,511
425,471,513
413,451,503
446,460,480
385,424,467
375,439,430
346,401,411
329,410,411
314,373,375
314,389,376
318,367,362
287,325,344
274,337,306
301,294,337
231,297,313
252,295,315
242,305,325
247,290,322
220,266,309
207,238,271
192,229,273
202,229,282
177,192,248
183,190,261
172,203,221
156,198,243
138,189,249
149,172,256
155,138,217
120,155,208
130,138,174
131,149,185
109,138,150
93,122,152
105,118,146
89,118,128
82,136,118
80,106,104
97,93,102
86,129,125
85,102,92
103,106,97
91,98,88
86,92,93
76,97,85
73,78,94
79,88,84
80,70,87
62,85,106
54,78,74
58,79,78
60,78,75
65,71,84
54,75,73
64,74,73
63,78,69
46,47,61
35,62,51
59,47,65
47,58,70
42,62,76
54,64,68
52,53,61
47,47,56
38,44,57
55,47,74
34,45,59
28,39,65
40,39,51
50,38,61
45,44,53
27,42,63
34,41,53
31,45,44
25,38,44
34,40,43
40,32,43
35,28,45
32,32,35
30,32,32
23,33,31
38,32,27
34,44,32
14,42,45
25,32,33
30,39,35
22,33,38
48,30,40
33,41,29
34,28,26
28,31,33
25,44,40
30,37,33
25,31,26
27,33,32
28,39,24
32,33,31
29,29,25
31,27,26
27,31,29
31,43,36
25,28,34
37,32,38
24,34,41
24,29,32
23,33,34
35,37,29
27,34,39
23,29,26
26,32,30
29,29,24
23,33,38
27,34,31
26,22,48
26,28,25
28,24,29
31,42,26
23,26,33
32,33,35
21,24,26
29,31,26
20,36,35
25,42,33
29,32,29
27,32,32
27,36,38
34,32,38
39,29,41
27,37,46
37,27,36
22,29,32
19,32,39
30,42,33
29,25,38
19,40,32
23,33,35
30,31,28
23,27,36
37,41,37
25,44,34
37,35,36
21,26,47
30,41,41
28,32,37
37,36,43
27,35,39
26,31,35
30,33,35
31,33,43
28,32,45
31,44,42
33,33,31
29,35,48
44,32,37
30,23,45
31,32,42
29,26,42
37,30,41
32,26,38
25,38,44
28,33,37
36,29,49
24,34,40
24,36,41
25,35,32
31,34,41
27,29,37
33,24,36
21,22,38
29,39,43
41,34,48
34,31,58
28,43,48
32,43,37
30,39,52
31,34,51
35,37,47
26,44,42
28,48,48
37,46,57
29,42,35
36,32,54
27,23,57
34,43,46
40,45,59
36,54,76
44,44,68
38,40,66
38,38,67
34,42,57
36,41,57
49,46,47
31,23,71
32,28,54
38,33,44
30,32,66
40,26,54
36,23,46
44,30,50
42,27,58
27,37,42
38,35,68
37,32,45
32,38,56
28,38,40
42,34,45
30,38,40
25,31,48
28,38,52
30,29,46
33,27,41
24,40,49
27,36,53
33,37,46
25,37,39
32,34,29
39,37,38
34,22,40
26,29,39
17,26,39
27,24,48
33,29,27
30,33,38
27,25,43
19,22,33
27,14,35
28,23,30
33,28,27
9,28,32
20,32,23
20,17,28
21,26,24
16,29,31
22,30,30
23,26,32
24,26,25
29,24,36
28,20,28
29,32,33
25,25,34
20,21,39
19,29,37
20,31,26
26,27,27
26,31,26
27,23,38
27,26,30
24,25,26
18,15,22
11,23,40
27,27,28
36,15,23
17,35,25
23,21,19
27,26,26
33,31,29
30,20,33
12,24,26
23,37,36
22,24,32
29,29,35
26,12,43
25,19,34
25,23,28
29,24,22
20,20,30
31,21,26
32,21,27
21,25,40
25,26,26
39,23,33
17,23,38
24,25,25
24,36,20
24,24,28
31,25,38
28,24,39
16,13,22
17,26,33
41,25,32
34,14,34
36,30,32
25,21,27
30,25,35
18,29,25
28,24,45
19,22,24
23,30,35
36,22,44
35,25,33
21,20,24
27,29,27
29,23,28
29,30,26
29,26,25
20,18,34
32,28,44
29,21,37
32,16,37
24,22,37
40,22,23
28,29,32
32,19,23
31,28,28
22,22,19
32,26,25
26,21,20
21,26,26
29,12,21
11,16,27
28,15,23
13,18,28
28,20,20
22,21,15
23,14,18
17,18,18
18,12,19
22,14,18
25,11,9
20,7,21
18,7,15
17,14,15
13,12,19
13,14,14
17,11,13
16,12,14
11,9,10
19,11,8
14,13,16
6,15,5
17,8,14
10,8,7
8,10,11
12,5,16
10,6,8
17,8,7
8,7,8
12,6,10
15,2,11
10,7,6
12,14,10
7,10,6
13,9,7
13,11,8
8,8,7
8,1,4
8,9,1
5,8,8
7,5,8
7,4,8
4,5,7
14,5,6
6,4,1
3,2,5
7,1,5
2,5,3
7,3,3
7,4,2
4,8,4
7,2,0
3,1,2
4,2,0
5,2,3
1,0,1
2,3,4
3,2,2
2,2,3
4,1,1
5,2,2
4,4,1
1,1,0
2,1,0
5,5,2
2,1,1
1,1,3
2,0,2
1,0,0
1,0,2
1,0,0
1,0,3
2,0,1
1,3,0
0,1,0
0,0,0
1,2,0
1,0,0
0,0,0
1,0,1
1,0,1
0,0,0
0,0,0
2,0,0
0,0,0
0,0,1
0,3,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
