15923,15270,24466,19285
12575,12599,13019,14740
10257,10075,10453,9622
9398,9285,9646,7865
7020,7121,6909,6125
5181,5102,4883,4883
5357,5261,5009,4513
6096,5789,5884,4711
3876,3856,3760,3499
3720,3651,3585,3297
4814,4683,4662,3939
3521,3507,3319,3115
2929,3029,2884,2633
3480,3594,3460,2937
3529,3713,3553,2913
2558,2568,2516,2349
2445,2492,2456,2357
3400,3575,3588,2979
2229,2356,2301,2107
2216,2250,2116,2025
2804,2820,2680,2199
2573,2511,2417,2227
1931,1953,1891,1841
2058,2051,2016,1939
2543,2683,2590,2274
1686,1908,1725,1667
1718,1678,1750,1572
2165,2289,2211,1995
1740,1836,1707,1722
1444,1540,1426,1479
1717,1727,1665,1617
1856,1885,1825,1727
1385,1409,1346,1324
1408,1416,1286,1352
1871,1941,1803,1693
1343,1291,1266,1287
1180,1252,1118,1200
1528,1497,1466,1415
1374,1484,1297,1335
1034,1139,1042,1137
1156,1187,1020,1194
1446,1506,1485,1489
1005,1035,900,997
981,981,969,1016
1317,1325,1278,1306
1032,1109,991,1079
866,904,813,943
1014,1069,944,1078
1061,1171,1075,1214
836,865,772,946
825,843,706,913
1134,1208,984,1218
771,838,695,863
756,792,657,824
899,960,814,999
936,956,758,916
684,656,565,790
726,750,588,783
980,1015,826,1018
618,679,551,728
626,660,568,690
860,828,765,888
688,715,603,805
541,585,446,653
659,614,555,736
709,749,629,864
505,532,441,600
528,530,404,596
732,710,602,772
531,552,411,609
494,492,373,585
568,594,489,648
620,567,505,660
424,432,337,490
439,398,344,523
647,625,476,696
422,394,350,477
387,421,279,458
571,491,443,613
462,458,363,556
362,387,272,391
412,364,311,459
510,452,390,590
322,339,229,385
316,323,233,396
418,443,357,519
322,310,288,388
308,258,216,359
361,342,297,412
368,368,285,460
264,251,193,329
281,262,204,359
343,386,295,494
227,237,210,318
247,225,181,311
319,289,234,386
306,251,220,343
221,224,136,268
219,213,204,320
288,284,215,392
204,175,164,229
