2294,2314,2076
682,704,984
481,506,687
414,367,595
273,321,537
255,257,392
221,222,351
231,211,341
172,186,337
155,159,301
159,174,276
167,184,249
133,126,272
142,150,229
126,131,249
113,109,232
91,101,206
109,67,182
102,109,167
101,116,208
100,90,182
104,110,216
67,96,174
75,83,173
77,102,195
79,76,150
59,95,160
78,83,155
60,89,160
64,87,156
75,74,160
92,76,161
81,88,144
82,84,153
87,63,139
100,84,159
68,59,131
69,67,178
82,75,139
63,63,121
50,76,117
74,62,108
59,78,107
64,87,100
60,57,125
91,78,121
62,65,136
50,48,108
51,50,111
65,64,114
75,49,127
62,55,117
66,44,114
52,65,100
53,37,96
62,51,79
41,44,102
46,54,120
53,40,105
46,45,97
89,47,73
64,41,110
36,51,116
52,47,88
38,45,91
47,50,94
39,48,103
43,44,92
59,57,89
57,23,89
36,41,97
51,35,81
57,44,102
49,51,113
50,40,88
76,37,97
43,37,54
46,40,77
32,42,89
55,32,91
40,39,90
36,43,98
41,43,69
35,50,73
45,45,89
43,57,83
42,30,83
38,39,66
42,32,86
47,71,87
59,46,82
42,42,95
54,51,97
32,37,91
45,48,90
36,51,72
50,44,76
36,52,83
40,59,69
39,48,89
37,45,86
41,43,75
33,54,59
49,35,98
51,52,67
33,40,82
44,32,81
47,51,90
40,52,88
48,39,81
41,52,79
58,44,74
49,49,105
66,50,89
45,46,94
65,62,102
58,49,93
39,53,94
45,50,81
33,63,105
49,59,106
70,56,83
44,70,94
67,50,113
34,56,99
54,48,89
62,57,110
53,56,120
69,53,104
46,67,97
69,72,114
47,89,115
60,55,102
51,59,130
70,74,115
60,76,103
77,77,104
69,76,125
71,78,101
61,69,117
70,53,134
79,85,125
98,93,124
113,113,101
85,98,118
108,126,110
129,129,126
142,177,114
186,206,157
205,236,151
195,213,158
157,151,133
173,190,139
182,148,154
175,148,149
153,152,143
142,152,141
132,146,129
159,159,143
128,165,142
137,117,132
172,183,170
208,163,214
337,367,297
224,194,242
155,153,179
172,142,133
133,141,129
111,140,126
118,132,128
100,96,119
133,124,129
99,84,111
101,95,83
122,110,120
99,85,96
101,110,101
81,114,109
91,107,104
103,106,93
92,90,90
88,92,85
83,72,84
93,75,91
87,91,100
93,88,84
74,86,78
86,82,85
53,66,87
76,75,76
65,65,79
81,67,74
52,72,79
80,88,77
71,91,80
82,99,85
96,65,93
55,62,105
64,82,72
47,63,78
97,59,85
69,61,74
72,65,69
64,60,78
60,58,73
49,48,79
62,58,88
100,76,74
70,75,86
66,62,80
65,56,96
95,86,67
73,61,80
55,69,68
56,50,60
60,54,60
63,50,68
70,59,64
38,52,65
63,55,64
49,62,76
69,58,69
53,66,65
59,66,63
66,61,70
55,68,79
74,70,83
44,65,71
43,58,104
78,86,113
53,57,118
47,64,147
47,54,146
60,65,104
46,58,72
60,56,61
37,47,86
59,38,69
61,67,58
58,44,63
37,47,81
35,38,55
41,52,72
51,49,81
30,32,57
35,24,52
34,48,61
30,37,73
32,41,53
44,39,49
49,42,68
46,42,57
40,44,62
39,48,52
63,56,50
47,45,44
57,51,54
38,45,43
56,51,47
33,34,61
35,47,52
39,51,49
45,53,54
48,36,68
48,37,66
31,46,44
45,34,57
43,43,38
32,34,47
37,41,74
42,43,47
42,36,41
34,29,51
35,30,44
54,39,53
31,37,40
35,42,51
45,36,53
42,39,51
43,39,38
42,48,47
37,50,46
42,56,62
39,62,57
46,54,52
32,46,64
52,53,48
39,40,48
42,50,71
70,53,64
52,67,69
61,62,60
49,71,57
49,65,60
60,68,64
64,83,64
70,66,74
102,90,71
87,98,83
60,94,64
69,91,92
71,81,74
70,95,92
70,80,72
82,71,67
85,69,79
59,68,82
77,57,71
76,64,68
60,71,59
76,73,68
70,61,74
76,55,74
65,56,61
57,64,60
53,71,53
66,66,56
77,83,79
48,67,82
61,66,67
64,66,65
68,60,53
74,71,90
85,66,62
74,73,67
120,160,106
167,137,102
83,61,66
60,50,81
81,71,68
64,59,71
54,58,70
56,67,66
60,48,78
54,47,70
62,60,60
50,49,64
62,41,50
64,55,50
55,53,54
51,34,73
43,51,54
61,37,48
51,55,56
41,45,63
38,50,47
46,50,68
38,45,61
73,52,40
38,56,41
45,47,49
56,41,40
55,49,52
41,45,53
52,35,37
47,43,43
60,37,36
41,41,52
38,40,56
33,52,43
49,41,36
32,37,41
31,24,67
47,37,48
48,49,43
44,28,47
34,39,46
28,34,52
40,49,59
51,31,35
29,50,56
42,45,49
41,34,43
33,41,36
36,42,48
58,49,47
45,42,44
38,38,35
34,34,50
46,60,48
44,41,43
37,40,42
46,56,53
46,32,30
39,33,42
38,44,52
32,42,47
18,32,33
30,50,35
29,44,40
38,32,57
35,35,41
45,34,32
29,41,44
28,25,36
29,41,31
45,36,50
39,35,40
40,35,47
29,31,38
40,29,27
31,31,43
33,33,42
26,40,42
41,20,38
29,37,33
34,30,55
33,40,38
37,31,40
27,25,39
40,35,39
32,40,32
28,29,36
39,33,36
33,37,39
32,39,40
38,41,46
38,35,44
35,44,51
36,32,48
34,44,46
32,27,41
33,35,38
35,41,43
39,44,42
31,31,54
34,41,44
28,28,64
38,39,49
40,40,36
29,31,46
45,43,50
43,30,41
32,37,52
35,29,45
44,42,38
34,42,42
55,40,49
52,49,38
44,40,36
35,35,50
64,73,49
40,62,53
51,68,53
53,44,46
44,56,62
51,67,66
69,59,56
55,45,54
47,43,63
57,54,56
54,50,51
48,65,71
51,63,55
41,54,56
74,62,49
38,42,65
51,37,71
52,59,50
38,48,59
43,55,49
52,54,50
43,49,53
56,44,53
52,48,62
49,40,58
62,53,41
48,39,46
39,33,60
35,46,41
48,42,38
39,71,51
49,41,57
38,54,44
42,51,63
50,40,44
58,61,52
51,41,56
49,43,54
30,45,49
45,41,50
39,45,71
53,46,37
48,52,62
49,44,53
48,50,45
43,72,66
51,51,50
60,53,57
64,84,57
41,60,52
50,55,61
54,34,49
49,52,53
54,52,45
35,33,52
44,59,31
53,35,60
31,42,42
49,52,47
47,36,39
38,36,35
28,30,54
29,28,49
27,32,45
26,27,44
28,41,42
26,36,33
36,25,38
33,32,29
32,29,37
40,34,34
36,31,35
38,31,46
27,34,33
42,39,45
30,44,43
28,33,36
29,31,40
27,36,44
30,37,41
38,30,42
34,28,39
43,34,24
34,22,34
29,20,37
42,27,39
50,45,37
40,31,37
33,30,37
32,25,52
31,31,31
31,30,32
27,24,29
37,15,35
26,27,42
38,34,34
24,27,42
22,37,42
30,24,41
28,30,33
31,23,35
23,30,44
30,28,26
28,30,27
26,38,36
31,15,39
42,43,27
28,22,34
38,21,33
46,49,72
21,40,33
33,32,42
33,23,26
24,26,28
32,24,31
19,24,30
27,29,37
25,23,36
34,32,29
17,28,38
26,31,28
27,20,25
28,32,32
40,39,39
37,34,48
31,35,23
36,21,46
30,15,24
22,37,36
28,27,31
30,44,39
15,24,43
37,36,37
30,44,47
39,30,49
24,39,47
33,34,54
27,28,46
29,40,55
34,22,39
46,28,45
42,47,58
50,33,80
38,40,66
41,33,43
25,31,48
36,44,39
23,36,33
29,45,49
37,38,38
36,44,43
38,47,38
55,38,46
44,38,41
34,39,32
53,39,43
48,43,36
44,38,35
46,43,41
37,39,35
35,37,43
42,41,36
30,37,41
42,34,31
32,41,35
44,41,42
43,28,46
38,55,35
35,43,51
42,48,33
39,38,40
24,48,38
38,22,42
42,36,38
27,39,44
31,42,31
39,40,24
33,33,41
39,23,30
29,32,43
34,26,35
35,46,34
41,30,39
41,28,24
28,34,34
42,33,36
37,25,32
30,40,35
53,42,57
41,40,39
33,36,38
44,53,25
29,44,34
37,34,42
35,38,24
37,39,31
49,31,27
36,34,32
42,33,37
44,29,27
23,33,29
31,27,35
29,33,39
23,31,53
35,30,33
37,34,33
38,42,25
30,42,31
38,44,34
23,40,32
72,58,40
52,62,28
56,41,35
36,48,33
41,34,29
35,27,37
49,45,38
35,32,34
31,30,32
23,28,39
29,35,35
25,29,28
28,34,24
31,30,28
33,45,36
28,34,29
29,33,40
31,42,28
30,36,47
26,32,32
32,46,29
29,23,24
26,32,40
24,31,28
29,25,34
41,25,20
31,34,39
36,23,33
25,24,31
26,21,35
32,23,37
28,25,39
24,26,40
29,28,32
30,31,21
39,27,35
46,36,88
28,23,35
27,20,33
23,37,26
27,21,33
13,18,28
36,30,39
26,23,41
29,39,30
18,19,36
26,23,32
37,27,22
32,21,27
26,34,36
28,47,46
